Address,PriceInAscendingOrder,LandArea,FloorArea,PropertyLinks,Timestamp
"['21-25 Caribou Drive', ',', 'Direk, SA 5110']",['Contact Agent'],['1.25 ha (3.09 acres)'],['3000 - 6200 m²'],https://www.realcommercial.com.au/for-sale/property-21-25-caribou-drive-direk-sa-5110-503788182,2022-01-29 02:09:34.670074
"['10-14 Andrew St', ',', 'Adelaide, SA 5000']","['$2,400,000 Negotiable']",['522 m²'],['469 m²'],https://www.realcommercial.com.au/for-sale/property-10-14-andrew-st-adelaide-sa-5000-503866386,2022-01-29 02:09:34.670074
"['24 Barndioota Road', ',', 'Salisbury Plain, SA 5109']","['$2,500,000']",['0.5 ha (1.24 acres)'],['1765 m²'],https://www.realcommercial.com.au/for-sale/property-24-barndioota-road-salisbury-plain-sa-5109-503865442,2022-01-29 02:09:34.670074
"['401-403 Burton Road', ',', 'Burton, SA 5110']",['Contact Agent'],['2181 m²'],['Whole'],https://www.realcommercial.com.au/for-sale/property-401-403-burton-road-burton-sa-5110-503941394,2022-01-29 02:09:34.670074
"['42-46 Main Road', ',', 'Solomontown, SA 5540']",['$2.75 Million'],['0.54 ha (1.33 acres)'],['2962 m²'],https://www.realcommercial.com.au/for-sale/property-42-46-main-road-solomontown-sa-5540-503973578,2022-01-29 02:09:34.670074
"['112-114 Gilles Street', ',', 'Adelaide, SA 5000']",['Contact Agent'],['460 m²'],['460 m²'],https://www.realcommercial.com.au/for-sale/property-112-114-gilles-street-adelaide-sa-5000-503975098,2022-01-29 02:09:34.670074
"['147-155 Bedford Street', ',', 'Gillman, SA 5013']",['Please contact agent'],['1.04 ha (2.57 acres)'],['436 m²'],https://www.realcommercial.com.au/for-sale/property-147-155-bedford-street-gillman-sa-5013-503900306,2022-01-29 02:09:34.670074
"['448-452 Goodwood Road and 2 Somerset Avenue', ',', 'Cumberland Park, SA 5041']",['Contact Agent'],['2680 m²'],['2680 m²'],https://www.realcommercial.com.au/for-sale/property-448-452-goodwood-road-and-2-somerset-avenue-cumberland-park-sa-5041-503914078,2022-01-29 02:09:34.670074
"['Lot 128 Huxtable Rd', ',', 'Waterloo Corner, SA 5110']",['Please contact Agent for Details'],['8.49 ha (20.98 acres)'],['150 m²'],https://www.realcommercial.com.au/for-sale/property-lot-128-huxtable-rd-waterloo-corner-sa-5110-503937542,2022-01-29 02:09:34.670074
"['5-7 White Road', ',', 'Gepps Cross, SA 5094']",['Contact Agent'],['2506 m²'],['1349 m²'],https://www.realcommercial.com.au/for-sale/property-5-7-white-road-gepps-cross-sa-5094-503937718,2022-01-29 02:09:34.670074
